appid,name,total_reviews,positive_reviews_percent,developer,publisher,metacritic_score,is_free,genre1,genre2,genre3,price,peak
354680,Adventures of Bertram Fiddle: Episode 1: A Dreadly Business,474,0.862869198,Rumpus,Deck13 ,50,0,25,4,23,1850,12
354740,Echoes of Aetheria,152,0.861842105,Dancing Dragon Games,KOMODO,77,0,23,3,-1,5595,60
354180,Bunker - The Underground Game,73,0.602739726,Nightly Studios,2tainment GmbH,70,0,25,23,-1,1450,334
354200,Aberoth,1398,0.645922747,Jarbit,Jarbit,50,1,1,25,37,0,240
354240,"Please, Don’t Touch Anything",4616,0.880415945,Four Quarters,ForwardXP,50,0,4,23,-1,1850,898
354290,LoveBeat,1405,0.753024911,"CRAZYDIAMOND CO., LTD.","CRAZYDIAMOND CO., LTD.",50,1,1,4,37,0,426
354310,Claws & Feathers,73,0.945205479,Alawar Entertainment,ESDigital Games,50,0,4,2,-1,2595,198
354330,Crusader Kings II: Horse Lords ,243,0.728395062,Paradox Development Studio,Paradox Interactive,50,0,3,28,2,5276,1
354350,This War of Mine Soundtrack,73,0.931506849,11 bit studios,11 bit studios,50,0,25,37,23,0,1
354380,Assassin’s Creed® Chronicles: China,3226,0.738375697,Climax Studios,Ubisoft Entertainment,50,0,1,25,-1,3900,589
354400,Tadpole Treble,278,0.960431655,BitFinity,"BitFinity, Sunken Treasure Games",90,0,1,25,23,1850,200
354430,STAR WARS™: X-Wing Special Edition,367,0.754768392,Lucasfim,LucasArts,50,0,1,28,-1,3695,91
353700,The Deadly Tower of Monsters,1305,0.887356322,ACE Team,SEGA,73,0,1,25,23,5595,135
353830,Sid Meier's Civilization: Beyond Earth - Rising Tide,759,0.795783926,Firaxis Games,2K,79,0,2,-1,-1,11095,1
353890,Casey Powell Lacrosse 16,97,0.845360825,Big Ant Studios,Big Ant Studios,50,0,18,-1,-1,7395,48
353940,Aces of the Luftwaffe,122,0.639344262,HandyGames,HandyGames,50,0,1,-1,-1,1850,5
353980,Ankh - Anniversary Edition,110,0.781818182,Deck13,Deck13,50,0,25,-1,-1,2950,464
